Ort,Startpunkt,Datum,Uhrzeit,Breitengrad,Längengrad,Aufruf_Link,Aufruf_Link_href
Köln,Neumarkt - CSDwählliebe,15.02.2025,11:55 Uhr,50.93,6.95,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Hamburg,Gärtnerplatz #wählliebe,15.02.2025,11:55 Uhr,53.55,10.01,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Berlin,Bundestag #wählliebe,15.02.2025,11:55 Uhr,52.5,13.34,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
München,Spielbudenplatz #wählliebe,15.02.2025,11:55 Uhr,48.14,11.57,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Frankfurt (Main),Römerberg #wählliebe,15.02.2025,11:55 Uhr,50.11,8.63,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Stuttgart,Schloßplatz #wählliebe,15.02.2025,11:55 Uhr,48.78,9.17,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Erlangen,Schloßplatz #wählliebe,15.02.2025,11:55 Uhr,49.6,11.02,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Würzburg,Marktplatz #wählliebe,15.02.2025,11:55 Uhr,49.79,9.94,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Augsburg,Rathausplatz #wählliebe,15.02.2025,11:55 Uhr,48.37,10.9,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Kempten (Allgäu),August-Fischer-Platz #wählliebe,15.02.2025,11:55 Uhr,47.71,10.3,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Schwerin,Marktplatz #wählliebe,15.02.2025,11:55 Uhr,53.63,11.41,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Viersen,Sparkassen-Vorplatz #wählliebe,15.02.2025,11:55 Uhr,51.26,6.38,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Wiesbaden,Bahnhofsplatz #wählliebe,15.02.2025,11:55 Uhr,50.08,8.24,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Erfurt,Anger #wählliebe,15.02.2025,11:55 Uhr,50.98,11.03,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Karlsruhe,Marktplatz #wählliebe,15.02.2025,11:55 Uhr,49.01,8.39,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
